DeathCountyCountyName,DeathCOD39ICDCode39Desc,Deaths,Population,SORT
Sandusky,Human immunodeficiency virus (HIV) disease (B20-B24),0,61571,512
Scioto,Human immunodeficiency virus (HIV) disease (B20-B24),0,78775,514
Seneca,Human immunodeficiency virus (HIV) disease (B20-B24),0,57289,516
Shelby,Human immunodeficiency virus (HIV) disease (B20-B24),1,49284,518
Stark,Human immunodeficiency virus (HIV) disease (B20-B24),3,376877,520
Summit,Human immunodeficiency virus (HIV) disease (B20-B24),10,544275,522
Trumbull,Human immunodeficiency virus (HIV) disease (B20-B24),2,214296,524
Tuscarawas,Human immunodeficiency virus (HIV) disease (B20-B24),1,92511,526
Union,Human immunodeficiency virus (HIV) disease (B20-B24),0,49906,528
Unknown,Human immunodeficiency virus (HIV) disease (B20-B24),0,0,530
Van Wert,Human immunodeficiency virus (HIV) disease (B20-B24),0,29182,532
Vinton,Human immunodeficiency virus (HIV) disease (B20-B24),0,13566,534
Warren,Human immunodeficiency virus (HIV) disease (B20-B24),1,205258,536
Washington,Human immunodeficiency virus (HIV) disease (B20-B24),0,62253,538
Wayne,Human immunodeficiency virus (HIV) disease (B20-B24),1,114224,540
Williams,Human immunodeficiency virus (HIV) disease (B20-B24),0,38532,542
Wood,Human immunodeficiency virus (HIV) disease (B20-B24),1,125285,544
Wyandot,Human immunodeficiency virus (HIV) disease (B20-B24),1,22716,546
Adams,Malignant neoplasm of stomach (C16),0,28538,552
Allen,Malignant neoplasm of stomach (C16),3,106717,554
Ashland,Malignant neoplasm of stomach (C16),1,53544,556
Ashtabula,Malignant neoplasm of stomach (C16),3,102156,558
Athens,Malignant neoplasm of stomach (C16),2,64102,560
Auglaize,Malignant neoplasm of stomach (C16),3,45977,562
Belmont,Malignant neoplasm of stomach (C16),1,70430,564
Brown,Malignant neoplasm of stomach (C16),1,44490,566
Butler,Malignant neoplasm of stomach (C16),11,361192,568
Carroll,Malignant neoplasm of stomach (C16),0,29062,570
Champaign,Malignant neoplasm of stomach (C16),1,40127,572
Clark,Malignant neoplasm of stomach (C16),6,139829,574
Clermont,Malignant neoplasm of stomach (C16),4,194346,576
Clinton,Malignant neoplasm of stomach (C16),2,42576,578
Columbiana,Malignant neoplasm of stomach (C16),2,109153,580
Coshocton,Malignant neoplasm of stomach (C16),2,37184,582
Crawford,Malignant neoplasm of stomach (C16),1,44634,584
Cuyahoga,Malignant neoplasm of stomach (C16),87,1301540,586
Darke,Malignant neoplasm of stomach (C16),5,52996,588
Defiance,Malignant neoplasm of stomach (C16),0,39123,590
Delaware,Malignant neoplasm of stomach (C16),3,161796,592
Erie,Malignant neoplasm of stomach (C16),2,77668,594
Fairfield,Malignant neoplasm of stomach (C16),3,142915,596
Fayette,Malignant neoplasm of stomach (C16),1,28908,598
Franklin,Malignant neoplasm of stomach (C16),31,1127174,600
Fulton,Malignant neoplasm of stomach (C16),0,42800,602
Gallia,Malignant neoplasm of stomach (C16),1,30977,604
Geauga,Malignant neoplasm of stomach (C16),4,93742,606
Greene,Malignant neoplasm of stomach (C16),3,159055,608
Guernsey,Malignant neoplasm of stomach (C16),3,40531,610
Hamilton,Malignant neoplasm of stomach (C16),31,801815,612
Hancock,Malignant neoplasm of stomach (C16),1,74712,614
Hardin,Malignant neoplasm of stomach (C16),0,32132,616
Harrison,Malignant neoplasm of stomach (C16),0,15901,618
Henry,Malignant neoplasm of stomach (C16),1,28671,620
Highland,Malignant neoplasm of stomach (C16),3,43845,622
Hocking,Malignant neoplasm of stomach (C16),2,29418,624
Holmes,Malignant neoplasm of stomach (C16),0,41826,626
Huron,Malignant neoplasm of stomach (C16),3,60086,628
Jackson,Malignant neoplasm of stomach (C16),0,33144,630
Jefferson,Malignant neoplasm of stomach (C16),3,70114,632
Knox,Malignant neoplasm of stomach (C16),3,59843,634
Lake,Malignant neoplasm of stomach (C16),16,228930,636
Lawrence,Malignant neoplasm of stomach (C16),4,62748,638
Licking,Malignant neoplasm of stomach (C16),2,162375,640
Logan,Malignant neoplasm of stomach (C16),2,46154,642
Lorain,Malignant neoplasm of stomach (C16),10,298609,644
Lucas,Malignant neoplasm of stomach (C16),18,445482,646
Madison,Malignant neoplasm of stomach (C16),0,42392,648
Mahoning,Malignant neoplasm of stomach (C16),14,243453,650
Marion,Malignant neoplasm of stomach (C16),6,66487,652
Medina,Malignant neoplasm of stomach (C16),4,168775,654
Meigs,Malignant neoplasm of stomach (C16),3,23612,656
Mercer,Malignant neoplasm of stomach (C16),1,41055,658
Miami,Malignant neoplasm of stomach (C16),2,102130,660
Monroe,Malignant neoplasm of stomach (C16),1,14774,662
Montgomery,Malignant neoplasm of stomach (C16),22,540667,664
Morgan,Malignant neoplasm of stomach (C16),1,15175,666
Morrow,Malignant neoplasm of stomach (C16),2,34937,668
Muskingum,Malignant neoplasm of stomach (C16),1,85939,670
Noble,Malignant neoplasm of stomach (C16),0,14614,672
NonOH,Malignant neoplasm of stomach (C16),0,0,674
Ottawa,Malignant neoplasm of stomach (C16),2,41690,676
Paulding,Malignant neoplasm of stomach (C16),0,19735,678
Perry,Malignant neoplasm of stomach (C16),4,35582,680
Pickaway,Malignant neoplasm of stomach (C16),3,55044,682
Pike,Malignant neoplasm of stomach (C16),1,28645,684
Portage,Malignant neoplasm of stomach (C16),4,159148,686
Preble,Malignant neoplasm of stomach (C16),0,42561,688
Putnam,Malignant neoplasm of stomach (C16),0,34752,690
Richland,Malignant neoplasm of stomach (C16),2,126995,692
Ross,Malignant neoplasm of stomach (C16),1,77419,694
Sandusky,Malignant neoplasm of stomach (C16),0,61571,696
Scioto,Malignant neoplasm of stomach (C16),4,78775,698
Seneca,Malignant neoplasm of stomach (C16),2,57289,700
Shelby,Malignant neoplasm of stomach (C16),0,49284,702
Stark,Malignant neoplasm of stomach (C16),20,376877,704
Summit,Malignant neoplasm of stomach (C16),24,544275,706
Trumbull,Malignant neoplasm of stomach (C16),12,214296,708
Tuscarawas,Malignant neoplasm of stomach (C16),4,92511,710
Union,Malignant neoplasm of stomach (C16),1,49906,712
Unknown,Malignant neoplasm of stomach (C16),0,0,714
Van Wert,Malignant neoplasm of stomach (C16),1,29182,716
Vinton,Malignant neoplasm of stomach (C16),0,13566,718
Warren,Malignant neoplasm of stomach (C16),6,205258,720
Washington,Malignant neoplasm of stomach (C16),3,62253,722
Wayne,Malignant neoplasm of stomach (C16),5,114224,724
Williams,Malignant neoplasm of stomach (C16),1,38532,726
Wood,Malignant neoplasm of stomach (C16),2,125285,728
Wyandot,Malignant neoplasm of stomach (C16),1,22716,730
Adams,Malignant neoplasms of colon rectum and anus (C18-C21),4,28538,736
Allen,Malignant neoplasms of colon rectum and anus (C18-C21),19,106717,738
Ashland,Malignant neoplasms of colon rectum and anus (C18-C21),12,53544,740
Ashtabula,Malignant neoplasms of colon rectum and anus (C18-C21),24,102156,742
Athens,Malignant neoplasms of colon rectum and anus (C18-C21),12,64102,744
Auglaize,Malignant neoplasms of colon rectum and anus (C18-C21),15,45977,746
Belmont,Malignant neoplasms of colon rectum and anus (C18-C21),25,70430,748
Brown,Malignant neoplasms of colon rectum and anus (C18-C21),13,44490,750
Butler,Malignant neoplasms of colon rectum and anus (C18-C21),69,361192,752
Carroll,Malignant neoplasms of colon rectum and anus (C18-C21),3,29062,754
Champaign,Malignant neoplasms of colon rectum and anus (C18-C21),7,40127,756
Clark,Malignant neoplasms of colon rectum and anus (C18-C21),36,139829,758
Clermont,Malignant neoplasms of colon rectum and anus (C18-C21),27,194346,760
Clinton,Malignant neoplasms of colon rectum and anus (C18-C21),5,42576,762
Columbiana,Malignant neoplasms of colon rectum and anus (C18-C21),20,109153,764
Coshocton,Malignant neoplasms of colon rectum and anus (C18-C21),14,37184,766
Crawford,Malignant neoplasms of colon rectum and anus (C18-C21),19,44634,768
Cuyahoga,Malignant neoplasms of colon rectum and anus (C18-C21),297,1301540,770
Darke,Malignant neoplasms of colon rectum and anus (C18-C21),18,52996,772
Defiance,Malignant neoplasms of colon rectum and anus (C18-C21),2,39123,774
Delaware,Malignant neoplasms of colon rectum and anus (C18-C21),11,161796,776
Erie,Malignant neoplasms of colon rectum and anus (C18-C21),22,77668,778
Fairfield,Malignant neoplasms of colon rectum and anus (C18-C21),29,142915,780
Fayette,Malignant neoplasms of colon rectum and anus (C18-C21),9,28908,782
Franklin,Malignant neoplasms of colon rectum and anus (C18-C21),173,1127174,784
Fulton,Malignant neoplasms of colon rectum and anus (C18-C21),9,42800,786
Gallia,Malignant neoplasms of colon rectum and anus (C18-C21),9,30977,788
Geauga,Malignant neoplasms of colon rectum and anus (C18-C21),22,93742,790
Greene,Malignant neoplasms of colon rectum and anus (C18-C21),23,159055,792
Guernsey,Malignant neoplasms of colon rectum and anus (C18-C21),16,40531,794
Hamilton,Malignant neoplasms of colon rectum and anus (C18-C21),160,801815,796
Hancock,Malignant neoplasms of colon rectum and anus (C18-C21),11,74712,798
Hardin,Malignant neoplasms of colon rectum and anus (C18-C21),5,32132,800
Harrison,Malignant neoplasms of colon rectum and anus (C18-C21),7,15901,802
Henry,Malignant neoplasms of colon rectum and anus (C18-C21),9,28671,804
Highland,Malignant neoplasms of colon rectum and anus (C18-C21),10,43845,806
Hocking,Malignant neoplasms of colon rectum and anus (C18-C21),3,29418,808
Holmes,Malignant neoplasms of colon rectum and anus (C18-C21),6,41826,810
Huron,Malignant neoplasms of colon rectum and anus (C18-C21),10,60086,812
Jackson,Malignant neoplasms of colon rectum and anus (C18-C21),11,33144,814
Jefferson,Malignant neoplasms of colon rectum and anus (C18-C21),23,70114,816
Knox,Malignant neoplasms of colon rectum and anus (C18-C21),11,59843,818
Lake,Malignant neoplasms of colon rectum and anus (C18-C21),42,228930,820
Lawrence,Malignant neoplasms of colon rectum and anus (C18-C21),19,62748,822
Licking,Malignant neoplasms of colon rectum and anus (C18-C21),31,162375,824
Logan,Malignant neoplasms of colon rectum and anus (C18-C21),6,46154,826
Lorain,Malignant neoplasms of colon rectum and anus (C18-C21),56,298609,828
Lucas,Malignant neoplasms of colon rectum and anus (C18-C21),90,445482,830
Madison,Malignant neoplasms of colon rectum and anus (C18-C21),4,42392,832
Mahoning,Malignant neoplasms of colon rectum and anus (C18-C21),84,243453,834
Marion,Malignant neoplasms of colon rectum and anus (C18-C21),21,66487,836
Medina,Malignant neoplasms of colon rectum and anus (C18-C21),18,168775,838
Meigs,Malignant neoplasms of colon rectum and anus (C18-C21),7,23612,840
Mercer,Malignant neoplasms of colon rectum and anus (C18-C21),17,41055,842
Miami,Malignant neoplasms of colon rectum and anus (C18-C21),21,102130,844
Monroe,Malignant neoplasms of colon rectum and anus (C18-C21),7,14774,846
Montgomery,Malignant neoplasms of colon rectum and anus (C18-C21),105,540667,848
Morgan,Malignant neoplasms of colon rectum and anus (C18-C21),1,15175,850
Morrow,Malignant neoplasms of colon rectum and anus (C18-C21),12,34937,852
Muskingum,Malignant neoplasms of colon rectum and anus (C18-C21),28,85939,854
Noble,Malignant neoplasms of colon rectum and anus (C18-C21),2,14614,856
NonOH,Malignant neoplasms of colon rectum and anus (C18-C21),0,0,858
Ottawa,Malignant neoplasms of colon rectum and anus (C18-C21),11,41690,860
Paulding,Malignant neoplasms of colon rectum and anus (C18-C21),2,19735,862
Perry,Malignant neoplasms of colon rectum and anus (C18-C21),9,35582,864
Pickaway,Malignant neoplasms of colon rectum and anus (C18-C21),8,55044,866
Pike,Malignant neoplasms of colon rectum and anus (C18-C21),10,28645,868
Portage,Malignant neoplasms of colon rectum and anus (C18-C21),27,159148,870
Preble,Malignant neoplasms of colon rectum and anus (C18-C21),9,42561,872
Putnam,Malignant neoplasms of colon rectum and anus (C18-C21),7,34752,874
Richland,Malignant neoplasms of colon rectum and anus (C18-C21),46,126995,876
Ross,Malignant neoplasms of colon rectum and anus (C18-C21),21,77419,878
Sandusky,Malignant neoplasms of colon rectum and anus (C18-C21),15,61571,880
Scioto,Malignant neoplasms of colon rectum and anus (C18-C21),15,78775,882
Seneca,Malignant neoplasms of colon rectum and anus (C18-C21),12,57289,884
Shelby,Malignant neoplasms of colon rectum and anus (C18-C21),10,49284,886
Stark,Malignant neoplasms of colon rectum and anus (C18-C21),79,376877,888
Summit,Malignant neoplasms of colon rectum and anus (C18-C21),133,544275,890
Trumbull,Malignant neoplasms of colon rectum and anus (C18-C21),63,214296,892
Tuscarawas,Malignant neoplasms of colon rectum and anus (C18-C21),23,92511,894
Union,Malignant neoplasms of colon rectum and anus (C18-C21),9,49906,896
Unknown,Malignant neoplasms of colon rectum and anus (C18-C21),0,0,898
Van Wert,Malignant neoplasms of colon rectum and anus (C18-C21),5,29182,900
Vinton,Malignant neoplasms of colon rectum and anus (C18-C21),3,13566,902
Warren,Malignant neoplasms of colon rectum and anus (C18-C21),26,205258,904
Washington,Malignant neoplasms of colon rectum and anus (C18-C21),17,62253,906
Wayne,Malignant neoplasms of colon rectum and anus (C18-C21),20,114224,908
Williams,Malignant neoplasms of colon rectum and anus (C18-C21),11,38532,910
Wood,Malignant neoplasms of colon rectum and anus (C18-C21),37,125285,912
Wyandot,Malignant neoplasms of colon rectum and anus (C18-C21),6,22716,914
Adams,Malignant neoplasm of pancreas (C25),4,28538,920
Allen,Malignant neoplasm of pancreas (C25),16,106717,922
Ashland,Malignant neoplasm of pancreas (C25),1,53544,924
Ashtabula,Malignant neoplasm of pancreas (C25),19,102156,926
Athens,Malignant neoplasm of pancreas (C25),7,64102,928
Auglaize,Malignant neoplasm of pancreas (C25),9,45977,930
